gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt,season,result
1,1,2.0,1.0,72.0,52970.0,24.0,4.0,17.4,0.0,0,0,2022,0.5
1,3,2.3,2.4,74.0,28808.0,17.0,7.0,17.2,0.0,0,0,2022,0.0
1,2,0.8,0.6,55.0,16876.0,16.0,5.0,17.1,0.0,0,0,2021,0.0
2,4,1.2,2.4,51.0,32219.0,18.0,6.0,21.0,0.0,0,0,2021,0.0
4,0,2.6,1.0,47.0,31959.0,7.0,4.0,19.1,1.0,1,1,2021,1.0
2,4,0.8,2.9,29.0,73549.0,10.0,4.0,17.8,1.0,0,0,2023,0.0
0,0,0.7,0.9,37.0,25842.0,6.0,0.0,15.0,0.0,0,0,2022,0.5
2,1,2.2,1.8,26.0,61171.0,11.0,5.0,15.0,0.0,0,0,2023,1.0
6,1,2.7,1.4,73.0,36657.0,13.0,7.0,12.9,0.0,0,0,2022,1.0
0,2,0.4,3.7,54.0,52268.0,6.0,1.0,14.2,0.0,0,0,2022,0.0
1,0,0.5,1.3,56.0,31983.0,9.0,5.0,17.1,0.0,0,0,2021,1.0
2,2,0.6,0.8,56.0,31794.0,14.0,5.0,23.1,0.0,0,0,2022,0.5
1,2,0.2,2.5,38.0,24498.0,4.0,1.0,22.4,0.0,0,0,2022,0.0
0,2,1.3,1.6,63.0,62467.0,20.0,5.0,18.2,2.0,0,0,2022,0.0
0,1,1.0,2.0,47.0,24189.0,14.0,2.0,16.4,1.0,0,0,2023,0.0
4,2,3.2,2.3,45.0,31675.0,13.0,7.0,15.2,0.0,2,2,2023,1.0
1,2,1.5,1.5,39.0,31571.0,7.0,0.0,17.6,0.0,1,1,2023,0.0
4,4,4.0,1.8,69.0,31129.0,30.0,8.0,18.5,0.0,0,0,2022,0.5
1,5,0.5,3.1,40.0,57553.0,8.0,1.0,18.0,1.0,0,0,2021,0.0
1,1,2.3,0.4,65.0,31304.0,20.0,10.0,15.8,1.0,1,1,2021,0.5
1,3,0.2,3.3,27.0,53514.0,3.0,1.0,16.7,0.0,0,0,2023,0.0
0,2,1.1,0.8,50.0,30769.0,10.0,3.0,15.6,0.0,0,0,2022,0.0
2,2,1.6,1.0,63.0,39946.0,16.0,3.0,17.2,0.0,0,0,2022,0.5
1,0,1.3,0.2,66.0,36261.0,20.0,3.0,18.8,1.0,0,0,2021,1.0
1,1,0.5,1.3,71.0,29368.0,8.0,1.0,17.2,0.0,0,0,2022,0.5
0,4,0.8,1.5,32.0,42310.0,10.0,1.0,14.1,0.0,0,0,2023,0.0
0,2,0.6,2.5,62.0,30000.0,11.0,0.0,22.8,1.0,0,0,2021,0.0
2,1,3.5,0.7,79.0,31336.0,29.0,9.0,17.3,2.0,0,1,2023,1.0
1,4,1.3,2.2,49.0,39103.0,9.0,3.0,19.0,0.0,1,1,2022,0.0
1,1,1.6,0.5,59.0,29004.0,18.0,3.0,14.1,0.0,0,0,2023,0.5
6,0,5.9,0.2,63.0,53018.0,21.0,12.0,17.7,0.0,2,2,2021,1.0
0,5,0.9,4.1,31.0,39295.0,13.0,2.0,17.6,2.0,0,0,2023,0.0
1,2,0.2,2.3,48.0,25147.0,3.0,2.0,13.8,0.0,0,0,2022,0.0
4,2,3.4,1.1,46.0,17124.0,12.0,7.0,15.4,2.0,0,0,2023,1.0
1,1,1.0,1.1,47.0,24142.0,14.0,4.0,19.7,0.0,0,0,2023,0.5
0,1,0.2,1.5,51.0,52247.0,1.0,0.0,7.5,0.0,0,0,2022,0.0
2,1,1.3,0.8,51.0,16957.0,13.0,5.0,24.7,0.0,1,1,2021,1.0
1,1,1.3,0.5,45.0,11200.0,9.0,1.0,16.7,1.0,0,0,2023,0.5
1,0,1.0,1.1,39.0,21593.0,11.0,4.0,15.0,0.0,0,0,2023,1.0
1,1,1.6,1.6,56.0,28706.0,14.0,4.0,18.7,1.0,0,0,2021,0.5
1,0,0.9,1.7,31.0,10536.0,5.0,2.0,12.3,0.0,0,0,2022,1.0
3,0,3.5,0.3,70.0,52055.0,27.0,10.0,14.4,0.0,0,0,2023,1.0
1,2,0.4,2.4,39.0,29362.0,5.0,3.0,18.4,0.0,0,0,2022,0.0
1,3,0.7,1.9,60.0,52186.0,11.0,2.0,19.1,1.0,0,0,2021,0.0
1,0,1.4,1.3,36.0,61747.0,12.0,3.0,14.7,0.0,0,0,2022,1.0
1,3,1.6,1.8,63.0,60276.0,9.0,0.0,19.2,0.0,1,1,2022,0.0
2,0,1.0,1.2,44.0,25286.0,10.0,2.0,14.6,1.0,0,0,2022,1.0
2,4,1.1,3.4,54.0,17124.0,10.0,5.0,15.9,1.0,0,0,2023,0.0
1,1,1.4,2.2,43.0,51997.0,15.0,4.0,16.2,0.0,0,0,2023,0.5
2,1,1.4,0.9,64.0,73453.0,21.0,8.0,18.3,1.0,0,0,2023,1.0
0,0,0.3,1.2,40.0,25350.0,6.0,1.0,19.9,0.0,0,0,2022,0.5
0,1,1.3,1.4,64.0,61747.0,15.0,5.0,17.7,1.0,0,0,2022,0.0
1,0,1.1,1.2,32.0,29045.0,9.0,2.0,15.2,1.0,0,0,2022,1.0
4,4,2.3,2.4,55.0,52211.0,19.0,6.0,16.3,0.0,0,0,2023,0.5
0,3,0.9,1.9,69.0,11188.0,13.0,1.0,16.5,0.0,0,0,2023,0.0
1,2,1.4,1.2,52.0,39305.0,12.0,4.0,16.0,0.0,0,0,2022,0.0
0,2,1.2,1.3,58.0,56452.0,17.0,7.0,15.9,2.0,0,0,2021,0.0
2,1,1.5,0.7,72.0,53316.0,23.0,6.0,17.8,0.0,0,0,2022,1.0
2,0,2.1,1.1,52.0,62459.0,20.0,8.0,12.6,1.0,0,0,2023,1.0
0,2,1.3,1.3,55.0,50267.0,12.0,5.0,14.8,0.0,0,0,2022,0.0
2,1,1.7,1.5,32.0,52214.0,10.0,4.0,12.2,0.0,0,0,2021,1.0
0,3,0.7,2.4,52.0,38815.0,11.0,3.0,16.2,0.0,0,0,2023,0.0
0,1,1.0,1.8,40.0,20869.0,10.0,3.0,20.2,1.0,0,0,2021,0.0
2,1,2.5,1.4,47.0,24246.0,14.0,9.0,17.7,0.0,0,0,2022,1.0
2,2,1.6,0.7,61.0,29145.0,16.0,4.0,16.9,0.0,0,0,2021,0.5
1,2,1.2,1.7,72.0,21109.0,20.0,3.0,22.4,1.0,0,0,2023,0.0
4,1,2.5,0.4,63.0,72732.0,21.0,6.0,20.5,0.0,0,0,2021,1.0
1,0,0.9,1.3,23.0,73428.0,8.0,2.0,13.5,0.0,0,0,2023,1.0
1,0,0.8,1.6,50.0,38203.0,8.0,3.0,19.8,2.0,0,0,2021,1.0
1,2,1.4,2.5,53.0,24246.0,14.0,7.0,14.0,0.0,0,0,2022,0.0
0,2,0.2,1.2,46.0,31621.0,5.0,3.0,20.1,0.0,0,0,2023,0.0
4,2,2.4,1.2,49.0,32219.0,22.0,11.0,18.4,1.0,0,0,2021,1.0
3,2,1.1,0.8,53.0,24781.0,12.0,4.0,17.1,0.0,0,0,2023,1.0
3,1,1.5,1.5,63.0,61098.0,17.0,7.0,20.2,1.0,0,0,2023,1.0
2,4,2.3,3.2,55.0,31675.0,19.0,3.0,15.2,1.0,0,0,2023,0.0
0,2,0.3,3.1,35.0,58729.0,6.0,3.0,18.7,0.0,0,0,2021,0.0
0,0,1.2,0.3,60.0,25350.0,16.0,7.0,13.1,0.0,0,0,2022,0.5
0,0,1.4,1.6,48.0,53126.0,15.0,3.0,15.5,0.0,0,0,2022,0.5
3,1,2.1,1.0,66.0,60125.0,16.0,5.0,18.2,1.0,0,0,2022,1.0
2,1,2.7,0.7,63.0,61148.0,21.0,9.0,16.0,0.0,0,0,2023,1.0
2,3,1.7,1.8,46.0,62470.0,10.0,5.0,15.6,0.0,0,0,2023,0.0
0,5,0.9,2.5,46.0,25191.0,8.0,2.0,13.8,0.0,0,0,2023,0.0
2,1,2.2,1.3,64.0,62001.0,24.0,8.0,19.8,0.0,0,0,2023,1.0
1,1,0.8,1.4,53.0,22975.0,8.0,4.0,15.8,0.0,0,0,2021,0.5
0,1,1.3,0.9,77.0,73428.0,19.0,3.0,15.5,0.0,0,0,2023,0.0
1,1,0.5,1.6,41.0,29004.0,6.0,1.0,15.4,0.0,0,0,2023,0.5
3,0,1.5,0.8,32.0,25149.0,5.0,4.0,21.0,1.0,1,1,2021,1.0
3,1,1.3,1.2,65.0,10357.0,11.0,5.0,16.9,0.0,0,0,2022,1.0
1,2,0.8,1.2,49.0,25125.0,10.0,4.0,16.3,1.0,0,0,2022,0.0
0,1,0.2,1.1,50.0,11058.0,3.0,2.0,15.0,0.0,0,0,2023,0.0
2,2,1.6,1.1,71.0,42354.0,21.0,5.0,21.7,1.0,0,0,2023,0.5
1,4,1.6,2.8,38.0,17193.0,15.0,6.0,19.8,3.0,0,0,2023,0.0
0,3,0.6,2.0,37.0,73482.0,12.0,4.0,18.9,1.0,0,0,2021,0.0
2,0,1.7,0.4,82.0,53213.0,18.0,4.0,15.3,0.0,0,0,2021,1.0
1,4,0.4,2.9,27.0,30963.0,4.0,1.0,17.0,0.0,0,0,2022,0.0
1,0,2.2,1.1,62.0,52247.0,20.0,5.0,16.7,2.0,0,0,2022,1.0
1,1,0.5,0.7,54.0,28958.0,10.0,3.0,18.9,0.0,0,0,2023,0.5
5,0,2.2,1.4,63.0,30187.0,14.0,9.0,15.8,1.0,0,0,2023,1.0
2,1,1.8,1.6,29.0,61532.0,12.0,7.0,15.9,0.0,0,0,2023,1.0
1,1,1.2,1.1,68.0,50757.0,16.0,6.0,16.9,1.0,0,0,2021,0.5
1,1,1.5,1.0,33.0,62469.0,11.0,4.0,16.6,1.0,0,0,2023,0.5
3,1,3.3,0.3,67.0,53392.0,16.0,7.0,15.4,1.0,1,1,2022,1.0
1,2,0.5,2.9,43.0,40126.0,8.0,2.0,18.9,0.0,0,0,2022,0.0
1,5,0.9,3.0,48.0,36427.0,11.0,7.0,16.7,1.0,0,0,2022,0.0
0,2,0.9,2.4,55.0,29296.0,17.0,1.0,20.0,1.0,0,0,2022,0.0
4,3,2.2,2.0,67.0,53275.0,11.0,3.0,16.1,0.0,1,1,2022,1.0
2,1,0.5,1.0,36.0,25203.0,10.0,3.0,20.5,2.0,0,0,2021,1.0
0,2,1.5,1.1,74.0,19713.0,20.0,5.0,18.9,1.0,0,0,2023,0.0
2,1,1.6,0.3,65.0,11047.0,18.0,6.0,18.7,1.0,0,0,2023,1.0
0,0,0.3,1.6,58.0,16958.0,6.0,3.0,21.6,0.0,0,0,2021,0.5
4,3,3.3,2.1,47.0,31641.0,21.0,8.0,18.2,2.0,0,0,2023,1.0
2,1,1.8,2.5,45.0,39953.0,7.0,4.0,14.6,0.0,0,0,2022,1.0
2,2,1.2,0.6,59.0,22861.0,9.0,6.0,10.9,0.0,0,0,2021,0.5
0,1,0.9,1.2,39.0,39132.0,15.0,2.0,14.7,0.0,0,0,2021,0.0
2,2,2.2,1.3,31.0,17066.0,10.0,5.0,18.0,0.0,1,1,2023,0.5
2,2,1.7,2.9,43.0,29361.0,13.0,4.0,17.6,0.0,0,0,2023,0.5
2,4,1.2,2.9,68.0,31647.0,9.0,5.0,13.5,0.0,0,0,2022,0.0
1,0,0.3,0.4,59.0,16518.0,4.0,2.0,19.0,0.0,0,0,2021,1.0
1,1,0.7,1.4,29.0,31550.0,10.0,5.0,19.3,0.0,0,0,2023,0.5
1,0,0.3,2.2,35.0,31619.0,5.0,2.0,16.0,0.0,0,0,2022,1.0
0,2,1.9,2.2,68.0,39575.0,17.0,2.0,16.1,1.0,0,0,2023,0.0
3,0,2.1,1.2,60.0,23508.0,17.0,6.0,16.7,1.0,1,1,2022,1.0
5,0,2.6,0.1,67.0,51437.0,16.0,4.0,18.5,1.0,0,0,2021,1.0
4,0,2.4,1.3,58.0,35771.0,19.0,6.0,16.2,0.0,0,0,2021,1.0
1,1,0.3,2.1,29.0,41830.0,3.0,1.0,16.8,0.0,0,0,2022,0.5
0,1,0.0,0.7,35.0,32227.0,1.0,0.0,29.4,0.0,0,0,2022,0.0
0,1,0.1,1.0,49.0,41046.0,1.0,0.0,14.7,0.0,0,0,2022,0.0
3,2,1.8,1.1,37.0,59942.0,10.0,3.0,20.1,0.0,1,1,2021,1.0
2,1,2.1,1.4,43.0,58989.0,13.0,4.0,17.5,1.0,0,0,2021,1.0
3,0,1.9,1.1,57.0,39940.0,20.0,7.0,14.7,0.0,0,0,2022,1.0
1,3,1.0,2.1,28.0,17096.0,9.0,2.0,15.3,0.0,0,0,2023,0.0
1,2,0.9,2.4,58.0,32053.0,16.0,3.0,20.7,2.0,0,0,2022,0.0
2,2,1.1,1.4,45.0,32061.0,8.0,3.0,16.1,0.0,0,0,2021,0.5
1,2,1.6,1.2,53.0,61726.0,17.0,4.0,16.9,0.0,0,0,2022,0.0
1,1,0.6,2.9,20.0,13933.0,5.0,3.0,21.1,0.0,0,0,2021,0.5
5,0,2.5,0.1,64.0,26940.0,15.0,5.0,17.7,1.0,1,1,2021,1.0
0,2,0.3,2.5,34.0,59886.0,9.0,5.0,24.5,0.0,0,0,2021,0.0
1,2,2.1,1.3,51.0,31012.0,14.0,4.0,20.0,1.0,1,1,2021,0.0
1,1,1.9,0.3,74.0,24609.0,15.0,3.0,15.6,0.0,0,0,2021,0.5
3,2,3.1,0.4,57.0,60325.0,25.0,5.0,14.2,0.0,0,0,2022,1.0
2,2,1.8,1.4,47.0,60156.0,12.0,4.0,16.9,0.0,1,1,2023,0.5
1,0,1.1,1.3,32.0,31222.0,5.0,1.0,14.0,0.0,0,0,2022,1.0
2,1,1.1,1.4,62.0,31543.0,14.0,5.0,20.6,1.0,0,0,2023,1.0
0,2,0.4,2.3,41.0,53027.0,6.0,1.0,15.3,0.0,0,0,2022,0.0
2,0,3.5,0.7,68.0,29435.0,22.0,7.0,15.4,1.0,0,0,2022,1.0
4,1,3.3,0.9,60.0,59713.0,29.0,13.0,16.9,0.0,0,0,2023,1.0
2,2,2.3,1.2,68.0,40025.0,19.0,6.0,17.1,0.0,1,1,2022,0.5
0,1,0.8,1.8,58.0,31523.0,15.0,4.0,19.1,2.0,0,0,2021,0.0
2,2,1.2,1.0,63.0,35639.0,13.0,6.0,17.3,0.0,0,0,2021,0.5
0,1,2.7,2.0,69.0,60090.0,21.0,5.0,12.5,1.0,0,0,2023,0.0
0,2,0.7,1.5,50.0,24244.0,10.0,1.0,15.0,0.0,0,0,2022,0.0
2,3,1.2,2.1,57.0,24741.0,12.0,4.0,16.2,0.0,0,0,2023,0.0
1,3,1.0,2.0,60.0,26887.0,15.0,7.0,18.6,0.0,0,0,2021,0.0
2,1,2.4,0.4,59.0,60012.0,22.0,8.0,16.3,1.0,0,0,2022,1.0
2,3,2.1,1.4,28.0,38819.0,9.0,4.0,17.4,0.0,1,1,2021,0.0
3,2,1.8,1.6,43.0,36447.0,11.0,4.0,11.9,0.0,0,0,2022,1.0
1,1,2.2,1.8,40.0,31388.0,20.0,7.0,17.4,2.0,0,0,2022,0.5
2,0,1.9,0.4,74.0,51658.0,14.0,6.0,19.8,0.0,1,1,2021,1.0
0,1,0.7,0.6,61.0,25434.0,10.0,4.0,19.8,1.0,0,0,2021,0.0
0,2,0.5,1.8,55.0,40290.0,9.0,3.0,21.6,0.0,0,0,2021,0.0
0,3,0.7,0.8,45.0,41888.0,11.0,1.0,16.2,1.0,0,0,2021,0.0
1,0,2.3,1.4,59.0,31577.0,21.0,5.0,19.3,0.0,1,1,2022,1.0
2,2,3.9,1.4,59.0,53267.0,20.0,6.0,14.0,0.0,0,1,2022,0.5
2,1,2.8,1.1,60.0,20431.0,16.0,5.0,19.2,0.0,1,1,2023,1.0
3,2,1.0,2.3,38.0,61554.0,9.0,3.0,14.3,1.0,0,0,2023,1.0
2,1,0.4,0.9,32.0,31415.0,3.0,1.0,11.4,0.0,0,0,2023,1.0
1,1,1.8,0.7,70.0,39798.0,25.0,4.0,16.0,0.0,0,0,2021,0.5
1,0,1.1,0.3,71.0,40026.0,8.0,3.0,16.4,1.0,0,0,2021,1.0
2,0,1.0,0.7,41.0,61651.0,13.0,4.0,20.8,1.0,0,0,2022,1.0
2,1,1.2,1.7,43.0,73487.0,17.0,5.0,17.1,0.0,0,0,2023,1.0
1,3,1.5,2.0,45.0,61460.0,8.0,4.0,15.2,0.0,0,1,2022,0.0
2,3,1.4,2.9,40.0,24366.0,9.0,5.0,16.6,0.0,1,1,2023,0.0
2,2,1.2,1.2,33.0,22207.0,8.0,2.0,18.4,0.0,1,1,2022,0.5
2,1,0.8,1.4,35.0,61405.0,9.0,3.0,15.2,0.0,0,0,2022,1.0
2,4,1.8,2.7,46.0,50673.0,17.0,3.0,16.3,0.0,0,0,2021,0.0
0,5,0.4,2.3,31.0,60263.0,5.0,2.0,20.4,0.0,0,0,2022,0.0
2,3,1.5,1.9,39.0,73381.0,15.0,4.0,19.9,1.0,0,0,2021,0.0
3,1,1.2,1.7,39.0,61514.0,11.0,4.0,18.1,0.0,0,0,2022,1.0
3,1,1.2,0.5,40.0,59482.0,13.0,7.0,14.2,0.0,0,0,2021,1.0
1,3,1.4,2.7,47.0,59496.0,10.0,4.0,17.2,1.0,0,0,2021,0.0
2,2,1.4,1.1,55.0,32061.0,12.0,1.0,19.6,0.0,1,1,2021,0.5
1,2,0.8,1.3,49.0,16957.0,14.0,5.0,13.7,0.0,0,0,2021,0.0
2,2,1.2,2.0,36.0,62473.0,5.0,3.0,14.9,1.0,0,0,2023,0.5
1,1,1.3,0.9,64.0,53177.0,22.0,3.0,19.6,1.0,0,0,2021,0.5
1,1,1.4,0.3,64.0,41646.0,23.0,7.0,16.3,1.0,0,0,2023,0.5
2,1,1.1,1.5,34.0,32001.0,10.0,4.0,13.8,0.0,0,0,2021,1.0
0,0,1.9,0.9,56.0,23534.0,24.0,6.0,16.4,0.0,0,0,2022,0.5
0,3,1.3,3.5,44.0,41021.0,10.0,3.0,12.6,1.0,0,0,2022,0.0
1,1,2.1,1.1,58.0,17009.0,20.0,5.0,14.8,0.0,0,0,2022,0.5
2,1,0.8,1.3,40.0,36347.0,12.0,4.0,18.6,1.0,0,0,2022,1.0
1,3,1.1,3.0,37.0,50136.0,11.0,4.0,13.5,0.0,0,0,2023,0.0
2,1,1.5,1.3,45.0,31555.0,14.0,6.0,20.3,2.0,0,0,2023,1.0
2,3,0.8,1.1,47.0,24781.0,9.0,5.0,16.5,0.0,0,0,2023,0.0
3,2,2.7,1.1,43.0,60059.0,10.0,6.0,14.3,0.0,1,1,2022,1.0
2,3,1.6,1.7,50.0,38203.0,16.0,6.0,17.9,0.0,0,1,2021,0.0
2,2,1.4,1.6,38.0,36173.0,14.0,1.0,22.5,0.0,1,1,2022,0.5
2,2,2.4,1.1,78.0,59972.0,30.0,7.0,18.6,2.0,0,1,2021,0.5
0,0,0.5,0.9,53.0,23091.0,7.0,2.0,15.9,0.0,0,0,2021,0.5
0,0,0.5,0.4,56.0,25202.0,12.0,2.0,19.8,0.0,0,0,2022,0.5
1,0,1.3,1.5,58.0,31554.0,8.0,1.0,16.8,0.0,1,1,2022,1.0
1,0,2.8,0.6,61.0,32087.0,25.0,8.0,14.3,0.0,0,0,2021,1.0
2,2,1.1,1.6,29.0,42354.0,9.0,4.0,15.0,0.0,0,0,2023,0.5
0,1,0.7,0.9,66.0,19488.0,12.0,2.0,17.4,0.0,0,0,2021,0.0
4,3,2.1,1.7,59.0,25148.0,15.0,5.0,18.1,1.0,1,1,2022,1.0
0,1,0.9,1.8,43.0,52602.0,9.0,3.0,16.8,0.0,0,0,2022,0.0
1,2,1.7,1.2,57.0,73487.0,21.0,8.0,17.3,0.0,0,0,2023,0.0
0,3,1.1,3.1,50.0,17029.0,6.0,1.0,20.2,0.0,0,0,2023,0.0
1,1,1.6,2.0,69.0,60254.0,23.0,7.0,19.6,0.0,0,0,2022,0.5
1,1,1.1,0.9,39.0,20155.0,13.0,7.0,18.8,1.0,0,0,2023,0.5
0,2,0.5,1.3,44.0,29485.0,10.0,1.0,19.3,0.0,0,0,2021,0.0
1,0,0.7,0.0,65.0,32227.0,10.0,2.0,19.4,1.0,0,0,2022,1.0
1,1,1.4,0.5,66.0,25198.0,15.0,3.0,17.3,1.0,0,0,2022,0.5
1,3,1.0,1.9,57.0,16981.0,12.0,2.0,13.9,1.0,0,0,2023,0.0
1,1,0.3,1.4,36.0,41646.0,6.0,2.0,16.0,0.0,0,0,2023,0.5
0,4,1.6,1.1,52.0,41949.0,19.0,8.0,16.3,1.0,0,0,2021,0.0
2,0,0.4,1.3,34.0,23598.0,7.0,2.0,19.5,0.0,0,0,2023,1.0
4,1,2.3,0.6,52.0,59901.0,19.0,7.0,13.9,0.0,0,0,2021,1.0
1,0,1.7,1.7,54.0,52982.0,22.0,7.0,17.5,0.0,0,0,2022,1.0
1,2,2.4,1.2,48.0,42008.0,16.0,3.0,12.7,0.0,0,0,2022,0.0
0,2,0.5,1.9,66.0,30438.0,7.0,0.0,19.2,1.0,0,0,2022,0.0
4,1,2.4,0.9,60.0,39248.0,15.0,7.0,14.3,0.0,0,0,2022,1.0
4,2,2.0,0.7,33.0,32249.0,13.0,3.0,19.5,0.0,1,1,2021,1.0
3,1,2.4,1.1,57.0,73121.0,18.0,6.0,17.5,1.0,0,0,2021,1.0
0,6,0.2,2.3,20.0,29157.0,4.0,0.0,21.8,0.0,0,0,2023,0.0
1,0,0.9,0.4,61.0,36641.0,14.0,4.0,16.2,0.0,0,0,2022,1.0
1,0,1.5,0.3,53.0,40758.0,11.0,3.0,20.7,1.0,0,0,2022,1.0
4,1,3.8,1.7,56.0,61171.0,22.0,10.0,15.5,0.0,1,1,2023,1.0
1,2,1.4,1.1,38.0,31543.0,11.0,5.0,25.8,0.0,1,1,2023,0.0
1,0,1.3,1.2,35.0,62477.0,15.0,4.0,15.5,0.0,0,0,2022,1.0
2,2,0.8,1.2,37.0,73489.0,9.0,2.0,14.5,1.0,0,0,2023,0.5
2,2,1.7,1.6,49.0,24356.0,10.0,3.0,19.0,1.0,1,1,2022,0.5
2,2,1.9,1.0,54.0,41968.0,13.0,9.0,12.7,0.0,0,0,2021,0.5
1,1,0.7,0.7,44.0,30880.0,10.0,2.0,16.2,0.0,0,0,2021,0.5
2,1,2.9,1.8,53.0,73465.0,21.0,8.0,20.7,1.0,0,0,2022,1.0
2,3,1.2,1.2,52.0,17077.0,12.0,3.0,20.5,0.0,0,0,2023,0.0
1,2,1.1,2.8,40.0,20431.0,9.0,5.0,14.7,0.0,0,0,2023,0.0
1,2,1.1,1.8,57.0,52240.0,7.0,4.0,19.5,1.0,0,0,2022,0.0
4,0,1.7,0.4,43.0,25190.0,18.0,10.0,16.8,0.0,0,0,2023,1.0
2,2,1.3,2.2,69.0,17066.0,18.0,6.0,19.6,0.0,0,0,2023,0.5
0,1,1.3,0.9,56.0,25130.0,14.0,4.0,18.1,0.0,0,0,2022,0.0
2,3,1.2,1.2,62.0,20051.0,10.0,1.0,22.8,1.0,1,1,2021,0.0
2,1,2.6,0.8,43.0,10305.0,12.0,6.0,12.5,0.0,0,0,2022,1.0
3,1,2.7,0.3,74.0,52951.0,23.0,8.0,16.4,0.0,0,0,2021,1.0
3,2,1.9,1.4,44.0,73123.0,13.0,9.0,19.7,0.0,1,1,2021,1.0
3,1,2.4,1.0,51.0,26649.0,12.0,8.0,13.5,0.0,0,0,2021,1.0
3,1,2.3,0.9,55.0,60192.0,17.0,5.0,15.0,0.0,0,0,2023,1.0
2,3,1.6,1.8,57.0,36447.0,14.0,5.0,16.3,0.0,0,0,2022,0.0
2,0,1.3,0.2,63.0,42076.0,8.0,3.0,12.4,0.0,0,0,2022,1.0
0,0,0.7,0.6,55.0,39059.0,8.0,0.0,19.5,0.0,0,0,2021,0.5
3,0,2.2,0.2,79.0,52208.0,18.0,5.0,20.5,1.0,1,1,2021,1.0
2,0,1.5,0.7,50.0,24244.0,16.0,3.0,15.0,1.0,0,0,2022,1.0
2,0,2.4,0.9,45.0,29296.0,17.0,5.0,19.7,0.0,0,1,2022,1.0
3,0,1.9,0.5,52.0,42055.0,16.0,6.0,18.3,0.0,0,0,2022,1.0
2,1,1.4,0.5,50.0,29432.0,16.0,4.0,15.6,0.0,0,0,2023,1.0
0,3,0.1,2.1,38.0,26000.0,2.0,1.0,19.1,0.0,0,0,2021,0.0
1,1,0.8,1.8,26.0,31178.0,7.0,3.0,11.0,0.0,0,0,2021,0.5
1,1,1.4,1.1,44.0,31231.0,15.0,5.0,19.8,1.0,0,0,2021,0.5
2,1,0.7,1.4,39.0,22224.0,10.0,3.0,15.3,1.0,0,0,2022,1.0
0,2,0.2,3.4,47.0,17075.0,4.0,4.0,19.0,0.0,0,0,2022,0.0
4,2,1.1,2.0,59.0,12027.0,16.0,8.0,21.6,2.0,0,0,2023,1.0
3,0,2.7,0.5,57.0,62027.0,15.0,5.0,14.3,0.0,1,1,2021,1.0
1,0,2.2,0.4,64.0,73599.0,15.0,4.0,14.0,1.0,0,0,2023,1.0
1,3,2.2,1.5,54.0,28516.0,16.0,4.0,18.0,0.0,1,1,2023,0.0
1,1,1.8,2.2,39.0,59958.0,8.0,1.0,16.4,0.0,0,1,2021,0.5
2,2,1.8,1.6,26.0,53248.0,4.0,1.0,21.1,1.0,1,1,2023,0.5
1,0,1.0,0.5,38.0,39201.0,13.0,6.0,17.2,0.0,0,0,2022,1.0
4,0,2.4,1.2,59.0,52189.0,10.0,7.0,10.2,0.0,0,0,2023,1.0
0,0,1.9,0.5,53.0,25357.0,17.0,7.0,13.6,0.0,0,0,2021,0.5
0,3,0.4,1.9,47.0,31639.0,10.0,0.0,20.7,0.0,0,0,2023,0.0
0,3,0.8,2.1,56.0,52206.0,12.0,3.0,15.9,0.0,0,0,2023,0.0
0,1,1.7,1.7,61.0,30813.0,15.0,6.0,18.9,1.0,0,0,2022,0.0
2,1,2.6,1.1,63.0,39618.0,8.0,2.0,15.3,0.0,1,1,2023,1.0
1,0,1.3,0.7,38.0,59924.0,13.0,4.0,14.8,0.0,0,0,2021,1.0
4,1,3.3,0.5,67.0,22913.0,19.0,10.0,12.9,0.0,0,0,2022,1.0
1,2,0.7,2.7,37.0,61148.0,7.0,3.0,11.8,0.0,0,0,2023,0.0
2,2,1.5,1.0,58.0,52598.0,14.0,3.0,20.8,0.0,0,0,2021,0.5
1,3,0.8,2.3,59.0,18821.0,12.0,4.0,18.2,1.0,0,0,2021,0.0
2,3,1.6,1.2,56.0,41027.0,11.0,4.0,17.2,0.0,0,0,2021,0.0
1,1,1.8,0.9,56.0,39978.0,13.0,3.0,19.2,1.0,0,0,2022,0.5
5,0,3.3,0.3,60.0,60284.0,21.0,7.0,16.7,0.0,0,0,2023,1.0
2,3,1.5,0.5,39.0,29451.0,13.0,3.0,21.8,0.0,0,0,2023,0.0
3,0,2.6,1.4,41.0,17051.0,18.0,5.0,13.9,1.0,0,0,2021,1.0
0,4,1.1,1.3,49.0,32202.0,10.0,3.0,15.7,0.0,0,0,2022,0.0
2,0,1.9,1.0,29.0,30731.0,9.0,6.0,14.0,0.0,0,0,2023,1.0
0,1,0.3,1.1,29.0,40026.0,7.0,2.0,18.2,0.0,0,0,2021,0.0
0,0,0.3,2.2,51.0,40093.0,7.0,3.0,25.4,0.0,0,0,2022,0.5
6,1,3.7,1.0,56.0,52252.0,25.0,8.0,14.3,0.0,0,0,2022,1.0
0,1,0.2,1.7,41.0,40036.0,5.0,0.0,27.9,1.0,0,0,2021,0.0
0,4,0.7,2.3,28.0,19439.0,6.0,0.0,17.2,1.0,0,0,2021,0.0
1,1,1.2,0.6,39.0,62450.0,14.0,4.0,16.3,0.0,0,0,2022,0.5
